股票代號,股票名稱,市場,籌碼診斷,T+1進場價,T+5結算價,T+5報酬率(%),T+10結算價,T+10報酬率(%)
1101,台泥,TSE,【主力點火資】,23.4,22.85,-2.35,23.8,1.71
1102,亞泥,TSE,【主力點火資】,33.9,32.59,-3.86,33.0,-2.66
1215,卜蜂,TSE,【主力點火資】,111.5,113.5,1.79,109.5,-1.79
1218,泰山,TSE,【散戶套牢資 / 留意斷頭】,17.25,16.2,-6.09,16.35,-5.22
1316,上曜,TSE,【主力點火資】,10.35,10.3,-0.48,10.15,-1.93
1434,福懋,TSE,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,17.69,18.03,1.93,18.55,4.89
1440,南紡,TSE,【主力點火資】,13.98,13.05,-6.64,12.75,-8.81
1449,佳和,TSE,【主力點火資】,14.25,13.6,-4.56,12.7,-10.88
1477,聚陽,TSE,【主力點火資】,231.5,226.0,-2.38,216.0,-6.7
1514,亞力,TSE,【主力點火資】,121.0,120.5,-0.41,104.0,-14.05
1515,力山,TSE,【主力點火資】,38.75,41.15,6.19,44.0,13.55
1519,華城,TSE,【主力點火資】,748.0,727.0,-2.81,668.0,-10.7
1528,恩德,TSE,【主力點火資】,22.8,22.5,-1.32,19.75,-13.38
1560,中砂,TSE,一般資增,695.34,695.34,0.0,647.0,-6.95
1605,華新,TSE,【主力點火資】,35.05,33.9,-3.28,31.8,-9.27
1609,大亞,TSE,【主力點火資】,41.95,40.1,-4.41,36.35,-13.35
1611,中電,TSE,【主力點火資】,13.3,12.9,-3.01,12.15,-8.65
1617,榮星,TSE,【主力點火資】,24.7,24.5,-0.81,19.4,-21.46
1709,和益,TSE,【主力點火資】,24.5,26.8,9.39,26.2,6.94
1711,永光,TSE,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,43.3,41.9,-3.23,36.75,-15.13
1714,和桐,TSE,【主力點火資】,18.85,16.65,-11.67,15.0,-20.42
1795,美時,TSE,【主力點火資】,207.0,196.5,-5.07,189.0,-8.7
1802,台玻,TSE,一般資增,64.6,64.2,-0.62,53.3,-17.49
1904,正隆,TSE,【主力點火資】,23.65,21.9,-7.4,21.35,-9.73
