股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
8476,台境*,TSE,24.55,24.01,23.75,262,100,"(+99, +82, +262)","(+25, +3, +100)",1286,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
2455,全新,TSE,345.0,304.7,327.18,204,120,"(+217, +518, +204)","(+53, +184, +120)",8040,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
3022,威強電,TSE,92.2,85.4,86.24,174,12,"(+85, +188, +174)","(+4, +4, +12)",2504,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
6139,亞翔,TSE,858.0,818.2,877.85,137,8,"(+35, +203, +137)","(+12, +6, +8)",3230,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,True
3081,聯亞,OTC,1830.0,1585.0,1746.38,118,69,"(+120, +28, +118)","(+3, +10, +69)",1802,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
6197,佳必琪,TSE,315.5,308.7,339.35,30,1,"(+240, +82, +30)","(+112, +3, +1)",2371,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,True
3406,玉晶光,TSE,532.0,522.2,598.05,22,3,"(+54, +15, +22)","(+12, +2, +3)",1413,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,True
2457,飛宏,TSE,24.6,24.45,27.22,11,4,"(+29, +20, +11)","(+6, +6, +4)",2036,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,True
3362,先進光,OTC,163.0,155.1,173.0,10,9,"(+53, +209, +10)","(+53, +28, +9)",2459,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,True
1312,國喬,TSE,13.95,13.31,13.69,2753,68,"(-244, +534, +2753)","(+44, +74, +68)",25145,【主力點火資】,False,True,False
1301,台塑,TSE,66.2,63.22,59.58,2716,315,"(+354, -2580, +2716)","(+16, +148, +315)",80827,【主力點火資】,False,True,False
2408,南亞科,TSE,426.0,410.6,425.84,2299,-386,"(+3024, -1236, +2299)","(+264, +492, -386)",74338,【主力點火資】,False,True,False
2605,新興,TSE,32.5,31.33,30.42,2290,0,"(-44, -275, +2290)","(+1, +3, +0)",7886,【主力點火資】,False,True,False
4991,環宇-KY,OTC,436.0,389.4,460.1,1142,-82,"(+209, +364, +1142)","(+16, +155, -82)",5741,【主力點火資】,False,True,True
1810,和成,TSE,30.75,30.27,25.61,963,-319,"(+174, -1213, +963)","(+538, +2959, -319)",32096,【主力點火資】,False,True,False
3605,宏致,TSE,94.5,85.56,85.71,927,69,"(-126, +773, +927)","(+17, +66, +69)",8659,【主力點火資】,False,True,False
6239,力成,TSE,294.0,282.9,312.85,910,-10,"(-293, +219, +910)","(-22, +20, -10)",24662,【主力點火資】,False,True,True
2002,中鋼,TSE,19.1,18.79,18.74,848,0,"(-1794, -1419, +848)","(-2, +0, +0)",51315,【主力點火資】,False,True,False
3088,艾訊,OTC,154.0,136.85,137.69,819,300,"(+139, -33, +819)","(+0, +0, +300)",3160,【主力點火資】,False,True,False
2426,鼎元,TSE,61.1,56.78,68.28,794,60,"(+111, +248, +794)","(+24, -16, +60)",9258,【主力點火資】,False,True,True
1434,福懋,TSE,19.5,19.09,17.96,766,2,"(+264, +439, +766)","(-62, +46, +2)",15928,【主力點火資】,False,True,False
2377,微星,TSE,152.0,147.2,144.28,752,-10,"(+189, +588, +752)","(-56, +97, -10)",19797,【主力點火資】,False,True,False
3105,穩懋,OTC,364.5,341.8,390.15,652,40,"(+388, +1143, +652)","(-33, +132, +40)",16292,【主力點火資】,False,True,True
4938,和碩,TSE,87.2,83.32,82.98,623,13,"(-54, -125, +623)","(+2, +1, +13)",16318,【主力點火資】,False,True,False
4979,華星光,OTC,407.5,367.9,418.7,587,157,"(+214, +369, +587)","(-5, +8, +157)",7908,【主力點火資】,False,True,True
6213,聯茂,TSE,343.5,341.3,358.73,517,73,"(+663, +885, +517)","(+155, -71, +73)",26102,【主力點火資】,False,True,True
1313,聯成,TSE,12.3,12.11,12.6,515,-59,"(-53, +199, +515)","(+47, +10, -59)",5587,【主力點火資】,False,True,True
9919,康那香,TSE,14.7,14.19,13.91,450,11,"(-31, -30, +450)","(+0, +9, +11)",2469,【主力點火資】,False,True,False
1309,台達化,TSE,15.4,14.63,14.77,390,33,"(-305, -104, +390)","(+0, +0, +33)",5965,【主力點火資】,False,True,False
2449,京元電子,TSE,286.0,283.4,309.93,385,0,"(-264, -390, +385)","(-3, -26, +0)",23439,【主力點火資】,False,True,True
8114,振樺電,TSE,232.0,204.3,198.78,362,6,"(-3, +35, +362)","(+0, +1, +6)",1519,【主力點火資】,False,True,False
6442,光聖,TSE,1390.0,1311.0,1460.17,355,-5,"(+54, +130, +355)","(-3, +7, -5)",2243,【主力點火資】,False,True,True
8271,宇瞻,TSE,210.0,194.4,188.0,354,23,"(-61, +119, +354)","(-2, +30, +23)",5111,【主力點火資】,False,True,False
2890,永豐金,TSE,38.2,38.2,38.25,348,18,"(+12, +153, +348)","(+0, +0, +18)",62025,【主力點火資】,False,True,True
6163,華電網,OTC,45.55,41.8,45.71,342,44,"(-14, -3, +342)","(-4, +1, +44)",2149,【主力點火資】,False,True,True
3577,泓格,OTC,160.0,148.4,131.6,340,6,"(+452, -63, +340)","(+44, +33, +6)",3587,【主力點火資】,False,True,False
8111,立��,OTC,56.8,49.74,50.63,337,178,"(-35, -173, +337)","(+4, -9, +178)",3145,【主力點火資】,False,True,False
