code,name,market,foreign_net,sitc_net
6770,力積電,TSE,54266490,-12000
1402,遠東新,TSE,17116229,1974155
2313,華通,TSE,18822218,2390000
2618,長榮航,TSE,24136667,-2955009
2892,第一金,TSE,18332769,-227545
2344,華邦電,TSE,14945884,1441401
2337,旺宏,TSE,11787077,2675000
2353,宏碁,TSE,13345335,-46522
6505,台塑化,TSE,12342630,1926743
2408,南亞科,TSE,4850183,5422340
2883,凱基金,TSE,23355193,-8705929
2027,大成鋼,TSE,10485830,1268673
1101,台泥,TSE,11474610,-80000
2609,陽明,TSE,11205091,-43201
8150,南茂,TSE,8890637,-7000
2603,長榮,TSE,11430502,-644754
2890,永豐金,TSE,9067723,-994554
5880,合庫金,TSE,9992532,-710962
2002,中鋼,TSE,9274760,-7000
2634,漢翔,TSE,8374031,3000
3576,聯合再生,TSE,8149928,0
2845,遠東銀,TSE,7887215,-51000
1301,台塑,TSE,7161232,-2000
1504,東元,TSE,6738812,94342
2881,富邦金,TSE,8761527,-876472
1605,華新,TSE,6808519,-1861
3033,威健,TSE,7068279,0
2312,金寶,TSE,5224395,-100000
2610,華航,TSE,21951009,-14862450
2317,鴻海,TSE,6880436,-889920
2867,三商壽,TSE,4777900,0
3006,晶豪科,TSE,6022932,-4000
2303,聯電,TSE,-8696838,3027423
3711,日月光投控,TSE,4272932,1065788
5388,中磊,TSE,5043262,0
2615,萬海,TSE,5104341,-52436
1434,福懋,TSE,4999743,-1000
8131,福懋科,TSE,4119868,-10000
2347,聯強,TSE,4070990,89000
2605,新興,TSE,3959449,-1000
1326,台化,TSE,3878569,3000
2486,一詮,TSE,4093389,0
2515,中工,TSE,3069925,-18258
2449,京元電子,TSE,540556,2574262
2880,華南金,TSE,835972,1849548
2884,玉山金,TSE,5675447,-635463
2105,正新,TSE,3534449,11081
2324,仁寶,TSE,2429913,31065
2633,台灣高鐵,TSE,2695180,404000
2834,臺企銀,TSE,3290156,-115882
8112,至上,TSE,2769536,0
2323,中環,TSE,3037422,-100000
9907,統一實,TSE,2846000,-19000
1314,中石化,TSE,2355599,0
1718,中纖,TSE,2713578,0
1907,永豐餘,TSE,2470689,7000
9945,潤泰新,TSE,2377945,0
5871,中租-KY,TSE,1497739,767000
2301,光寶科,TSE,2693065,-264024
5876,上海商銀,TSE,-137323,2371000
6282,康舒,TSE,847500,0
2328,廣宇,TSE,1520245,0
9904,寶成,TSE,2460149,-45726
8039,台虹,TSE,643031,1053000
2606,裕民,TSE,1767523,-35000
2646,星宇航空,TSE,1816658,8000
1513,中興電,TSE,743224,-34835
3231,緯創,TSE,1889941,-580662
2006,東和鋼鐵,TSE,1186169,367000
2329,華泰,TSE,1194750,0
2377,微星,TSE,-336742,-1000
2887,台新新光金,TSE,-7175267,8023938
1216,統一,TSE,1110549,168108
2801,彰銀,TSE,2108178,-152555
2903,遠百,TSE,1386114,-1000
6257,矽格,TSE,1545913,17403
2014,中鴻,TSE,1294707,0
8028,昇陽半導體,TSE,1133717,30000
2388,威盛,TSE,627117,0
1711,永光,TSE,1211754,0
2441,超豐,TSE,996366,-38000
2405,輔信,TSE,1168200,0
6789,采鈺,TSE,1080461,-4000
2357,華碩,TSE,1300099,-239519
3028,增你強,TSE,1111682,-2000
2913,農林,TSE,1099000,0
2034,允強,TSE,1062400,0
2520,冠德,TSE,1053000,-1000
4938,和碩,TSE,994871,25000
2498,宏達電,TSE,941933,-17000
3045,台灣大,TSE,2585222,-814777
3036,文曄,TSE,1982754,-118967
2103,台橡,TSE,474018,-8000
3706,神達,TSE,77000,-33000
6477,安集,TSE,939757,0
2912,統一超,TSE,825214,-11574
2208,台船,TSE,943931,0
2889,國票金,TSE,968414,-37000
9914,美利達,TSE,730538,2000
2404,漢唐,TSE,928786,-20000
4306,炎洲,TSE,808000,0
6285,啟碁,TSE,372801,188000
6239,力成,TSE,856845,92612
2031,新光鋼,TSE,791762,0
1440,南紡,TSE,946003,-1000
2354,鴻準,TSE,720583,1000
2905,三商,TSE,700230,0
1229,聯華,TSE,725332,3000
2476,鉅祥,TSE,598485,0
2474,可成,TSE,527410,28000
6531,愛普*,TSE,475970,113000
3532,台勝科,TSE,475572,478000
2467,志聖,TSE,617509,-1000
2308,台達電,TSE,528273,101927
6414,樺漢,TSE,646320,107000
1560,中砂,TSE,844549,-285000
4919,新唐,TSE,-843613,-31000
1316,上曜,TSE,609000,0
2331,精英,TSE,643298,0
3515,華擎,TSE,588802,0
1210,大成,TSE,77313,227000
2371,大同,TSE,625275,-14150
3034,聯詠,TSE,833253,-146242
2851,中再保,TSE,605200,-9000
3413,京鼎,TSE,409106,0
2104,國際中橡,TSE,548760,0
4142,國光生,TSE,540102,0
2488,漢平,TSE,527000,0
8422,可寧衛*,TSE,556050,-29000
4763,材料*-KY,TSE,522305,-8000
3010,華立,TSE,487455,0
6177,達麗,TSE,466997,0
6451,訊芯-KY,TSE,414786,0
9941,裕融,TSE,453885,-6000
6196,帆宣,TSE,347952,-7000
1722,台肥,TSE,489422,-1000
2376,技嘉,TSE,227642,-110843
3703,欣陸,TSE,472000,0
2201,裕隆,TSE,349635,-12000
2482,連宇,TSE,444000,0
9933,中鼎,TSE,482821,-10000
3189,景碩,TSE,198188,34288
6120,達運,TSE,482750,0
3052,夆典,TSE,428000,0
1789,神隆,TSE,445968,0
1219,福壽,TSE,415955,0
3583,辛耘,TSE,386100,0
2442,新美齊,TSE,448000,0
6962,奕力-KY,TSE,415000,0
1597,直得,TSE,234392,0
5521,工信,TSE,422000,0
2511,太子,TSE,410087,0
2101,南港,TSE,403140,0
1808,潤隆,TSE,402030,0
5285,界霖,TSE,348089,0
8271,宇瞻,TSE,386155,0
2365,昆盈,TSE,384000,0
3047,訊舟,TSE,381082,0
2015,豐興,TSE,383085,0
2537,聯上發,TSE,389109,0
1773,勝一,TSE,380010,-3000
6235,華孚,TSE,373104,0
2351,順德,TSE,360397,0
2637,慧洋-KY,TSE,278438,61000
2607,榮運,TSE,352010,0
6443,元晶,TSE,343466,0
1608,華榮,TSE,342760,-1000
6753,龍德造船,TSE,282577,0
3059,華晶科,TSE,364775,0
3029,零壹,TSE,332052,1000
2421,建準,TSE,309717,-4000
2882,國泰金,TSE,2215706,-1528536
3056,富華新,TSE,322007,0
1308,亞聚,TSE,320000,0
1110,東泥,TSE,307000,0
5608,四維航,TSE,297979,0
9919,康那香,TSE,300845,0
2349,錸德,TSE,287000,0
6949,沛爾生醫-創,TSE,280096,0
2645,長榮航太,TSE,329574,1000
4536,拓凱,TSE,-130000,119000
5522,遠雄,TSE,333144,-15000
3037,欣興,TSE,-2065805,2539189
