股票代號,股票名稱,最新收盤價,本期大戶持股%,一週前大戶%,兩週前大戶%,大戶持股兩週變動,本期散戶持股%,一週前散戶%,兩週前散戶%,散戶持股兩週變動,本期股東人數,一週前股東人數,兩週前股東人數,股東人數兩週變動,外資5日買超天數,投信5日買超天數,AI 評等,目標價
6129,普誠,0.0,100.0,14.12,14.05,85.95,0.0,84.08,84.18,-84.18,1,68388,70031,-70030,0,0,買進,125.6
3374,精材,0.0,64.83,62.2,56.05,8.78,32.77,34.8,41.35,-8.58,44885,47575,55906,-11021,0,0,買進,125.1
1815,富喬,0.0,52.93,52.01,45.13,7.8,44.44,45.42,51.61,-7.17,139815,141069,150301,-10486,0,0,買進,120.6
3324,雙鴻,0.0,37.2,37.03,31.45,5.75,46.24,47.35,54.85,-8.61,59705,61819,78092,-18387,0,0,買進,122.3
6179,亞通,0.0,37.22,32.46,31.63,5.59,55.86,60.72,62.16,-6.3,48790,49425,49526,-736,0,0,買進,126.6
2409,友達,30.2,47.4,42.74,41.85,5.55,50.14,54.74,55.59,-5.45,613156,652092,666956,-53800,0,0,買進,35.9
3491,昇達科,0.0,21.8,21.51,17.62,4.18,71.76,73.12,75.36,-3.6,67929,68153,69272,-1343,0,0,買進,122.9
6214,精誠,188.5,60.5,58.26,56.35,4.15,34.79,36.33,37.87,-3.08,47479,48230,49021,-1542,0,0,買進,239.3
6426,統新,302.0,41.92,39.05,38.42,3.5,54.08,56.92,59.2,-5.12,17957,18577,19065,-1108,0,0,買進,373.0
3094,聯傑,40.9,15.96,12.98,12.89,3.07,82.88,84.86,85.97,-3.09,42133,42608,42788,-655,0,0,買進,51.0
3264,欣銓,0.0,66.34,64.67,63.58,2.76,29.97,31.12,32.34,-2.37,72252,73515,75375,-3123,0,0,買進,121.6
2033,佳大,28.4,66.08,65.37,63.4,2.68,25.93,26.44,28.43,-2.5,4540,4640,4666,-126,0,0,買進,33.9
6218,豪勉,0.0,39.91,39.2,37.3,2.61,49.31,51.23,55.49,-6.18,27369,27730,28311,-942,0,0,買進,123.8
8150,南茂,86.7,55.86,54.37,53.28,2.58,40.09,40.81,42.0,-1.91,143923,145396,149847,-5924,0,0,買進,100.7
2351,順德,234.0,67.41,67.18,65.31,2.1,25.61,26.67,28.0,-2.39,20127,20760,21273,-1146,0,0,買進,284.4
