股票代號,股票名稱,最新收盤價,本期大戶持股%,一週前大戶%,兩週前大戶%,大戶持股兩週變動,本期散戶持股%,一週前散戶%,兩週前散戶%,散戶持股兩週變動,本期股東人數,一週前股東人數,兩週前股東人數,股東人數兩週變動,外資5日買超天數,投信5日買超天數,AI 評等,目標價
1815,富喬,0.0,45.13,37.59,30.44,14.69,51.61,60.02,67.76,-16.15,150301,163653,175696,-25395,0,0,買進,120.3
2426,鼎元,104.5,48.81,42.14,37.4,11.41,48.32,54.63,58.54,-10.22,97881,100333,103722,-5841,0,0,買進,120.6
6226,光鼎,34.15,24.39,14.88,13.45,10.94,73.63,83.14,85.08,-11.45,51144,52888,53256,-2112,0,0,買進,40.7
6214,精誠,183.0,56.35,53.78,47.18,9.17,37.87,39.59,45.92,-8.05,49021,50337,53738,-4717,0,0,買進,232.1
6805,富世達,2110.0,53.12,48.79,46.1,7.02,40.42,42.12,43.75,-3.33,18565,23348,24777,-6212,0,0,買進,2643.2
3498,陽程,0.0,50.79,49.79,45.1,5.69,44.25,45.1,53.74,-9.49,53335,53688,54970,-1635,0,0,買進,118.8
4150,未命名,0.0,32.42,28.23,27.15,5.27,60.59,65.65,67.72,-7.13,29265,30956,31429,-2164,0,0,買進,123.4
4167,松瑞藥,0.0,38.26,33.57,33.31,4.95,57.61,61.56,62.3,-4.69,55780,55877,56045,-265,0,0,買進,118.7
2609,陽明,57.5,59.18,58.12,54.73,4.45,39.04,40.19,43.56,-4.52,365216,367273,381471,-16255,0,0,買進,66.7
6269,台郡,71.7,27.62,25.47,23.23,4.39,68.54,71.03,72.27,-3.73,78341,80059,80559,-2218,0,0,買進,88.5
6108,競國,23.9,49.81,48.57,45.54,4.27,46.01,46.14,47.95,-1.94,54110,54950,57832,-3722,0,0,買進,28.5
6127,九豪,0.0,19.28,17.67,15.67,3.61,78.18,78.72,79.66,-1.48,73699,74112,74290,-591,0,0,買進,118.7
2603,長榮,234.5,70.47,70.04,67.45,3.02,26.41,26.88,29.32,-2.91,273705,276741,294299,-20594,0,0,買進,272.1
2615,萬海,112.0,87.33,86.68,84.88,2.45,11.34,11.95,13.56,-2.22,94265,95427,104648,-10383,0,0,買進,141.9
2313,華通,249.0,56.03,54.24,53.79,2.24,40.76,42.44,43.21,-2.45,286369,297331,300909,-14540,0,0,買進,287.5
