股票代號,股票名稱,選出時收盤價,5日均量,MACD狀態,選出日期,風險提示,T+5追蹤日期,T+5最新收盤價,T+5漲跌幅(%)
2347,聯強,87.8,7377,由綠翻紅,2026/07/23,正常,2026/07/30,,
2915,潤泰全,51.6,2518,由綠翻紅,2026/07/23,正常,2026/07/30,,
2324,仁寶,36.75,58838,由綠翻紅,2026/07/23,正常,2026/07/30,,
6166,凌華,159.5,2904,由綠翻紅,2026/07/23,過熱,2026/07/30,,
3088,艾訊,154.0,3160,由綠翻紅,2026/07/23,過熱,2026/07/30,120.5,-21.75
3479,安勤,153.5,3885,由綠翻紅,2026/07/23,過熱,2026/07/30,127.0,-17.26
2377,微星,152.0,19797,由綠翻紅,2026/07/23,過熱,2026/07/30,,
3605,宏致,94.5,8659,由綠翻紅,2026/07/23,過熱,2026/07/30,,
8112,至上,88.0,15320,由綠翻紅,2026/07/23,過熱,2026/07/30,,
3594,磐儀,56.8,1861,由綠翻紅,2026/07/23,過熱,2026/07/30,47.0,-17.25
2425,承啟,45.8,4300,由綠翻紅,2026/07/23,過熱,2026/07/30,,
1229,聯華,42.5,4202,由綠翻紅,2026/07/23,過熱,2026/07/30,,
