股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap,T+5最新收盤價,T+5漲跌幅(%),T+10最新收盤價,T+10漲跌幅(%)
6505,台塑化,TSE,80.0,68.18,58.95,3710,461,"(+754, +2611, +3710)","(+52, +118, +461)",48360,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False,93.2,14.64,71.6,-11.93
3167,大量,TSE,851.0,842.8,818.19,191,65,"(+385, +192, +191)","(+17, +28, +65)",3826,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False,688.0,-10.18,442.0,-42.3
7714,創泓科技,OTC,201.5,193.6,155.43,87,18,"(+131, +105, +87)","(+2, +9, +18)",1725,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False,177.0,-2.48,125.0,-31.13
5443,均豪,OTC,108.5,106.8,110.01,36,31,"(+2, +122, +36)","(+5, +24, +31)",1919,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,True,100.5,2.87,78.3,-19.86
2303,聯電,TSE,160.0,157.3,160.99,3643,212,"(-15037, +10185, +3643)","(+152, -65, +212)",69535,【主力點火資】,False,True,True,138.5,-3.82,110.0,-23.61
8028,昇陽半導體,TSE,350.0,315.1,312.35,2906,164,"(-468, +944, +2906)","(+4, +42, +164)",6742,【主力點火資】,False,True,False,300.5,-4.6,227.5,-27.78
1314,中石化,TSE,9.06,8.88,8.73,2269,-31,"(+1543, +1321, +2269)","(+21, -117, -31)",59292,【主力點火資】,False,True,False,8.41,-2.66,7.37,-14.7
1710,東聯,TSE,17.5,16.27,16.09,2049,73,"(+981, +496, +2049)","(-32, +4, +73)",8977,【主力點火資】,False,True,False,16.8,2.44,12.7,-22.56
5347,世界,OTC,187.5,179.9,187.66,1613,8,"(-1364, +1984, +1613)","(-58, +20, +8)",25230,【主力點火資】,False,True,True,168.5,-0.3,138.0,-18.34
9904,寶成,TSE,24.6,24.29,24.32,1391,-5,"(+215, +458, +1391)","(+5, +0, -5)",18280,【主力點火資】,False,True,False,24.25,-1.42,24.0,-2.44
1709,和益,TSE,27.2,26.76,23.63,1347,1,"(-22, +1983, +1347)","(+18, -4, +1)",10270,【主力點火資】,False,True,False,27.2,4.41,22.55,-13.44
6175,立敦,OTC,107.98,102.48,107.27,1299,16,"(-87, +122, +1299)","(-10, -11, +16)",6044,【主力點火資】,False,True,False,85.6,-11.92,66.5,-31.57
2887,台新新光金,TSE,34.76,34.69,32.74,1269,0,"(-687, -94, +1269)","(-650, -47, +0)",63977,【主力點火資】,False,True,False,34.5,0.92,33.15,-3.03
1312,國喬,TSE,13.45,13.31,13.84,1209,-21,"(+1166, +724, +1209)","(-3938, -1209, -21)",11562,【主力點火資】,False,True,True,13.95,8.56,10.9,-15.18
2313,華通,TSE,235.5,233.4,232.73,1059,784,"(-322, +50, +1059)","(-139, +1727, +784)",45431,【主力點火資】,False,True,False,214.0,0.94,154.0,-27.36
2484,希華,TSE,89.6,85.32,80.77,1007,416,"(-1065, +1552, +1007)","(-190, +81, +416)",25523,【主力點火資】,False,True,False,69.4,-14.0,57.6,-28.62
3413,京鼎,TSE,382.0,347.2,329.43,999,71,"(-193, +58, +999)","(-2, +0, +71)",3772,【主力點火資】,False,True,False,341.0,-8.09,282.5,-23.85
2301,光寶科,TSE,218.0,216.4,216.93,838,16,"(-364, +114, +838)","(+1, +21, +16)",17673,【主力點火資】,False,True,False,218.0,10.94,190.0,-3.31
1434,福懋,TSE,19.45,18.32,17.32,830,8,"(-113, +367, +830)","(+0, +0, +8)",9365,【主力點火資】,False,True,False,19.5,1.56,17.35,-9.64
3149,正達,TSE,87.81,85.05,90.89,769,0,"(-562, +344, +769)","(-49, +0, +0)",9651,【主力點火資】,False,True,True,68.5,-13.94,61.7,-22.49
2486,一詮,TSE,261.5,252.5,250.18,599,22,"(-777, +19, +599)","(+99, -63, +22)",9816,【主力點火資】,False,True,False,239.0,1.49,171.0,-27.39
1517,利奇,TSE,12.1,11.0,10.73,503,4,"(+7, +24, +503)","(+0, +0, +4)",1071,【主力點火資】,False,True,False,11.4,-6.17,11.2,-7.82
1515,力山,TSE,44.85,41.65,35.94,497,-19,"(-274, +84, +497)","(-6, +0, -19)",1761,【主力點火資】,False,True,False,34.5,-15.75,27.4,-33.09
3339,泰谷,OTC,38.45,36.74,41.64,457,18,"(-121, +58, +457)","(-9, +2, +18)",1063,【主力點火資】,False,True,True,35.45,-2.07,30.7,-15.19
6239,力成,TSE,310.39,307.35,322.65,444,39,"(-2987, +139, +444)","(-9, +5, +39)",13560,【主力點火資】,False,True,True,288.32,2.08,214.5,-24.05
7777,能率亞洲,OTC,41.8,39.83,41.01,392,2,"(+15, +89, +392)","(-5, -4, +2)",1751,【主力點火資】,False,True,False,40.0,-4.31,33.55,-19.74
1102,亞泥,TSE,33.0,32.67,33.31,360,0,"(+98, +65, +360)","(+0, +0, +0)",21490,【主力點火資】,False,True,True,32.7,-1.65,33.2,-0.15
3711,日月光投控,TSE,682.0,670.6,660.96,308,35,"(-203, +100, +308)","(-27, +33, +35)",19208,【主力點火資】,False,True,False,649.0,5.7,505.0,-17.75
2105,正新,TSE,33.55,32.86,31.27,265,-2,"(-98, +82, +265)","(-1, +2, -2)",9209,【主力點火資】,False,True,False,31.2,-7.14,30.55,-9.08
9914,美利達,TSE,84.2,77.02,75.2,262,6,"(-209, -92, +262)","(-2, +0, +6)",3724,【主力點火資】,False,True,False,78.1,-7.02,78.4,-6.67
3024,憶聲,TSE,13.65,12.84,12.29,260,11,"(+112, -204, +260)","(+7, +1, +11)",2600,【主力點火資】,False,True,False,13.25,-6.69,11.85,-16.55
2449,京元電子,TSE,301.7,290.7,304.86,252,44,"(-690, -114, +252)","(-10, +11, +44)",21152,【主力點火資】,False,True,True,271.34,-0.17,203.5,-25.13
3491,昇達科,OTC,1303.15,1239.48,1301.16,252,8,"(-61, -42, +252)","(-11, +0, +8)",1003,【主力點火資】,False,True,False,1300.0,-3.55,923.0,-31.52
3017,奇鋐,TSE,2225.0,2217.0,2418.0,228,4,"(-27, +81, +228)","(-15, -21, +4)",2474,【主力點火資】,False,True,True,2440.0,10.91,2110.0,-4.09
1711,永光,TSE,43.9,42.84,44.63,204,-85,"(-924, +202, +204)","(-38, +128, -85)",5659,【主力點火資】,False,True,True,37.65,-4.8,29.2,-26.17
6120,達運,TSE,14.2,14.06,14.31,184,0,"(+204, -82, +184)","(+0, +0, +0)",2478,【主力點火資】,False,True,True,13.25,0.38,12.4,-6.06
1440,南紡,TSE,13.4,13.12,13.26,179,0,"(-91, +53, +179)","(+0, +0, +0)",1839,【主力點火資】,False,True,False,12.85,-0.77,12.15,-6.18
2404,漢唐,TSE,1250.0,1202.4,1244.04,175,4,"(-131, +303, +175)","(+0, +0, +4)",2027,【主力點火資】,False,True,False,1165.0,0.43,1010.0,-12.93
5328,華容,OTC,67.0,66.62,68.49,162,39,"(-171, -14, +162)","(-37, -108, +39)",20343,【主力點火資】,False,True,True,67.0,11.11,58.3,-3.32
6531,愛普*,TSE,909.0,905.0,972.6,161,-41,"(-736, -8, +161)","(-14, +46, -41)",2291,【主力點火資】,False,True,True,904.0,10.38,607.0,-25.89
4306,炎洲,TSE,15.2,14.84,15.19,160,-1,"(+623, -903, +160)","(+0, +0, -1)",1490,【主力點火資】,False,True,False,14.7,-0.34,14.05,-4.75
2867,三商壽,TSE,8.91,8.86,8.66,152,0,"(-901, -40, +152)","(+0, +0, +0)",10378,【主力點火資】,False,True,False,9.18,2.23,9.58,6.68
1316,上曜,TSE,10.35,10.33,10.43,144,1,"(-72, -99, +144)","(+7, +10, +1)",1283,【主力點火資】,False,True,True,10.2,1.49,9.68,-3.68
6243,迅杰,TSE,47.95,41.36,40.73,142,37,"(-88, +54, +142)","(+36, +50, +37)",1490,【主力點火資】,False,True,False,47.5,-7.95,46.1,-10.66
1313,聯成,TSE,12.85,12.52,12.54,139,4,"(-63, +65, +139)","(-7, +0, +4)",5463,【主力點火資】,False,True,False,12.3,0.82,10.25,-15.98
