股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
2409,友達,TSE,24.2,23.33,26.51,2570,938,"(-3037, +2820, +2570)","(+0, +5271, +938)",204058,【主力點火資】,False,True,True
2308,台達電,TSE,1640.0,1600.0,1794.75,946,11,"(-498, +371, +946)","(-42, +18, +11)",19030,【主力點火資】,False,True,True
2356,英業達,TSE,61.8,60.44,62.06,710,-796,"(-1080, -813, +710)","(+85, +656, -796)",33175,【主力點火資】,False,True,True
2375,凱美,TSE,116.5,115.9,154.38,664,-93,"(-722, -23, +664)","(-19, +0, -93)",5728,【主力點火資】,False,True,True
2454,聯發科,TSE,3555.0,3387.0,3684.53,568,9,"(-677, +361, +568)","(-27, +17, +9)",10004,【主力點火資】,False,True,True
2305,全友,TSE,30.1,29.49,33.92,555,46,"(-705, -2, +555)","(-50, +63, +46)",8432,【主力點火資】,False,True,True
2377,微星,TSE,142.0,140.2,144.25,346,-27,"(+3, -106, +346)","(+87, -32, -27)",14463,【主力點火資】,False,True,True
2383,台光電,TSE,4745.0,4477.0,4892.25,257,4,"(-59, +146, +257)","(-13, +4, +4)",2678,【主力點火資】,False,True,True
2368,金像電,TSE,793.0,789.4,965.65,218,8,"(-456, +267, +218)","(+55, -15, +8)",5602,【主力點火資】,False,True,True
3044,健鼎,TSE,369.0,360.1,411.34,148,0,"(-64, -57, +148)","(+9, -11, +0)",3087,【主力點火資】,False,True,True
1717,長興,TSE,59.9,57.9,66.8,106,-50,"(-1842, -747, +106)","(-35, +165, -50)",13051,【主力點火資】,False,True,True
2101,南港,TSE,33.25,32.76,33.62,56,0,"(-866, -354, +56)","(-15, +0, +0)",1728,【主力點火資】,False,True,True
2511,太子,TSE,8.6,8.26,8.24,38,0,"(-488, -56, +38)","(+0, +1, +0)",3291,【主力點火資】,False,True,False
2404,漢唐,TSE,1100.0,1050.0,1150.33,29,2,"(-91, -12, +29)","(+6, -1, +2)",2733,【主力點火資】,False,True,True
2385,群光,TSE,106.0,104.2,105.35,13,-12,"(-237, -106, +13)","(+54, +17, -12)",4341,【主力點火資】,False,True,False
2441,超豐,TSE,100.5,104.24,125.56,1374,-93,"(-137, -426, +1374)","(+220, -309, -93)",6366,【散戶套牢資 / 留意斷頭】,False,False,True
2478,大毅,TSE,108.5,111.48,148.49,1031,16,"(-456, -314, +1031)","(-36, -9, +16)",3907,【散戶套牢資 / 留意斷頭】,False,False,True
2426,鼎元,TSE,50.3,53.17,61.83,966,-31,"(-586, -873, +966)","(-18, -63, -31)",9138,【散戶套牢資 / 留意斷頭】,False,False,True
1409,新纖,TSE,20.75,21.05,24.86,725,-61,"(-1101, +113, +725)","(+22, -16, -61)",14079,【散戶套牢資 / 留意斷頭】,False,False,True
1326,台化,TSE,57.4,59.64,64.71,589,-91,"(-2573, +503, +589)","(+131, -322, -91)",46304,【散戶套牢資 / 留意斷頭】,False,False,True
1714,和桐,TSE,13.05,13.39,15.85,316,12,"(-655, -92, +316)","(+9, +3, +12)",15291,【散戶套牢資 / 留意斷頭】,False,False,True
2836,高雄銀,TSE,12.1,12.23,12.17,245,1,"(+1041, -530, +245)","(+1, +0, +1)",9070,【散戶套牢資 / 留意斷頭】,False,False,True
1313,聯成,TSE,10.35,10.69,12.04,228,0,"(+46, +413, +228)","(+26, +4, +0)",5634,【散戶套牢資 / 留意斷頭】,False,False,True
1309,台達化,TSE,12.5,12.79,14.26,179,1,"(-576, -183, +179)","(-83, -162, +1)",3670,【散戶套牢資 / 留意斷頭】,False,False,True
2501,國建,TSE,22.0,22.26,22.49,164,6,"(-13, +37, +164)","(-3, +0, +6)",2977,【散戶套牢資 / 留意斷頭】,False,False,True
2504,國產,TSE,31.2,31.54,31.6,144,9,"(-71, -6, +144)","(+2, +0, +9)",2222,【散戶套牢資 / 留意斷頭】,False,False,True
1795,美時,TSE,175.0,176.8,192.15,118,-3,"(-83, -106, +118)","(-6, +1, -3)",1639,【散戶套牢資 / 留意斷頭】,False,False,True
2340,台亞,TSE,27.4,27.56,32.92,69,-7,"(-554, -145, +69)","(-31, +1, -7)",3279,【散戶套牢資 / 留意斷頭】,False,False,True
1809,中釉,TSE,32.2,32.88,41.19,50,-8,"(-599, +118, +50)","(+5, +47, -8)",1898,【散戶套牢資 / 留意斷頭】,False,False,True
2342,茂矽,TSE,32.15,33.43,43.5,46,-5,"(-627, -122, +46)","(+72, -60, -5)",2661,【散戶套牢資 / 留意斷頭】,False,False,True
2520,冠德,TSE,34.65,34.95,35.27,32,0,"(-45, +4, +32)","(+1, +2, +0)",1588,【散戶套牢資 / 留意斷頭】,False,False,True
2530,華建,TSE,19.9,20.34,19.77,26,-6,"(-30, +11, +26)","(+2, +16, -6)",1431,一般資增,False,False,False
1590,亞德客-KY,TSE,1325.0,1359.0,1332.81,9,0,"(-52, -2, +9)","(+0, +0, +0)",1290,【散戶套牢資 / 留意斷頭】,False,False,True
3624,光頡,OTC,62.5,65.54,102.74,7,61,"(-268, -213, +7)","(-6, +0, +61)",1660,【散戶套牢資 / 留意斷頭】,False,False,True
