股票代號,股票名稱,市場,籌碼診斷,T+1進場價,T+5結算價,T+5報酬率(%),T+10結算價,T+10報酬率(%)
1102,亞泥,TSE,【主力點火資】,33.25,32.7,-1.65,33.2,-0.15
1215,卜蜂,TSE,【散戶套牢資 / 留意斷頭】,110.5,109.5,-0.9,107.0,-3.17
1218,泰山,TSE,【主力點火資】,16.4,15.95,-2.74,16.25,-0.91
1219,福壽,TSE,【主力點火資】,12.15,11.65,-4.12,11.65,-4.12
1229,聯華,TSE,【主力點火資】,40.85,42.5,4.04,40.45,-0.98
1312,國喬,TSE,【主力點火資】,12.85,13.95,8.56,10.9,-15.18
1313,聯成,TSE,【主力點火資】,12.2,12.3,0.82,10.25,-15.98
1314,中石化,TSE,【主力點火資】,8.64,8.41,-2.66,7.37,-14.7
1316,上曜,TSE,【主力點火資】,10.05,10.2,1.49,9.68,-3.68
1326,台化,TSE,【主力點火資】,66.1,71.7,8.47,56.4,-14.67
1402,遠東新,TSE,【主力點火資】,27.7,27.2,-1.81,27.15,-1.99
1409,新纖,TSE,【散戶套牢資 / 留意斷頭】,24.3,23.8,-2.06,20.2,-16.87
1434,福懋,TSE,【主力點火資】,19.2,19.5,1.56,17.35,-9.64
1440,南紡,TSE,【主力點火資】,12.95,12.85,-0.77,12.15,-6.18
1513,中興電,TSE,【散戶套牢資 / 留意斷頭】,158.5,160.0,0.95,147.0,-7.26
1515,力山,TSE,【主力點火資】,40.95,34.5,-15.75,27.4,-33.09
1517,利奇,TSE,【主力點火資】,12.15,11.4,-6.17,11.2,-7.82
1563,巧新,TSE,【主力點火資】,61.0,61.0,0.0,52.9,-13.28
1605,華新,TSE,【主力點火資】,32.6,33.65,3.22,28.6,-12.27
1612,宏泰,TSE,【散戶套牢資 / 留意斷頭】,31.05,31.1,0.16,29.6,-4.67
1709,和益,TSE,【主力點火資】,26.05,27.2,4.41,22.55,-13.44
1710,東聯,TSE,【主力點火資】,16.4,16.8,2.44,12.7,-22.56
1711,永光,TSE,【主力點火資】,39.55,37.65,-4.8,29.2,-26.17
1717,長興,TSE,【散戶套牢資 / 留意斷頭】,64.5,62.1,-3.72,55.7,-13.64
1795,美時,TSE,一般資增,188.0,188.5,0.27,173.0,-7.98
1905,華紙,TSE,【散戶套牢資 / 留意斷頭】,14.35,14.15,-1.39,12.5,-12.89
1907,永豐餘,TSE,【主力點火資】,28.15,28.05,-0.36,29.0,3.02
1909,榮成,TSE,【主力點火資】,10.1,10.1,0.0,10.05,-0.5
2023,燁輝,TSE,【散戶套牢資 / 留意斷頭】,13.6,13.95,2.57,13.65,0.37
2049,上銀,TSE,【主力點火資】,306.0,319.5,4.41,283.0,-7.52
2105,正新,TSE,【主力點火資】,33.6,31.2,-7.14,30.55,-9.08
2301,光寶科,TSE,【主力點火資】,196.5,218.0,10.94,190.0,-3.31
2303,聯電,TSE,【主力點火資】,144.0,138.5,-3.82,110.0,-23.61
2308,台達電,TSE,【主力點火資】,1740.0,1880.0,8.05,1530.0,-12.07
2313,華通,TSE,【主力點火資】,212.0,214.0,0.94,154.0,-27.36
2317,鴻海,TSE,【主力點火資】,234.0,257.5,10.04,229.5,-1.92
2324,仁寶,TSE,【散戶套牢資 / 留意斷頭】,36.0,36.75,2.08,33.75,-6.25
2328,廣宇,TSE,【主力點火資】,46.2,46.5,0.65,38.8,-16.02
2329,華泰,TSE,【散戶套牢資 / 留意斷頭】,45.15,47.1,4.32,37.55,-16.83
2331,精英,TSE,【散戶套牢資 / 留意斷頭】,19.4,19.75,1.8,17.45,-10.05
2337,旺宏,TSE,【散戶套牢資 / 留意斷頭】,125.0,129.5,3.6,91.8,-26.56
