股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
6214,精誠,TSE,148.5,146.6,141.7,326,49,"(+9, +263, +326)","(+2, +4, +49)",3862,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
3037,欣興,TSE,865.0,764.0,836.35,176,42,"(+404, +534, +176)","(+239, +39, +42)",24130,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
6538,倉和,OTC,135.0,128.2,136.38,90,240,"(+155, +531, +90)","(+192, +117, +240)",2300,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,True
1560,中砂,TSE,671.0,624.4,675.01,24,5,"(+48, +59, +24)","(+4, +34, +5)",1697,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,True
1303,南亞,TSE,165.0,153.6,183.71,12752,-2238,"(+6895, +2574, +12752)","(+1692, +144, -2238)",87779,【主力點火資】,False,True,True
6770,力積電,TSE,54.7,52.99,64.68,9187,418,"(+391, -689, +9187)","(+854, -5177, +418)",138516,【主力點火資】,False,True,True
2408,南亞科,TSE,396.5,366.2,409.1,7367,1117,"(-2629, +89, +7367)","(-656, -198, +1117)",59391,【主力點火資】,False,True,True
2618,長榮航,TSE,43.7,42.59,41.41,6907,-286,"(-557, -882, +6907)","(+51, +374, -286)",56174,【主力點火資】,False,True,False
2409,友達,TSE,23.9,23.41,26.14,2370,-211,"(+2820, +2570, +2370)","(+5271, +938, -211)",199903,【主力點火資】,False,True,True
2834,臺企銀,TSE,16.71,16.63,16.55,2116,0,"(+1383, +2539, +2116)","(+0, +0, +0)",67930,【主力點火資】,False,True,False
4958,臻鼎-KY,TSE,421.5,408.6,516.45,2070,32,"(+155, +1338, +2070)","(-201, +4, +32)",40467,【主力點火資】,False,True,True
2301,光寶科,TSE,229.5,201.5,209.47,1980,48,"(+898, -77, +1980)","(+92, +13, +48)",22077,【主力點火資】,False,True,False
2027,大成鋼,TSE,44.45,43.36,41.5,1635,-111,"(-9, +369, +1635)","(-2, +127, -111)",21552,【主力點火資】,False,True,False
8039,台虹,TSE,190.5,178.4,187.95,1442,435,"(-2209, +1292, +1442)","(-436, +395, +435)",19509,【主力點火資】,False,True,False
6213,聯茂,TSE,289.0,263.4,327.52,1412,64,"(+223, +195, +1412)","(-97, +6, +64)",12224,【主力點火資】,False,True,True
2515,中工,TSE,12.05,11.79,12.46,1362,0,"(+363, +41, +1362)","(+1, -6, +0)",7734,【主力點火資】,False,True,True
3090,日電貿,TSE,137.5,128.7,198.53,1241,7,"(+5, -75, +1241)","(-12, +20, +7)",3606,【主力點火資】,False,True,True
1718,中纖,TSE,9.6,9.18,12.3,1200,17,"(-532, +2129, +1200)","(+10, -36, +17)",32579,【主力點火資】,False,True,True
2464,盟立,TSE,147.5,131.7,147.5,1015,116,"(-24, +510, +1015)","(-30, +181, +116)",5315,【主力點火資】,False,True,False
2449,京元電子,TSE,233.5,221.8,265.46,1007,46,"(-580, +231, +1007)","(+8, +7, +46)",23951,【主力點火資】,False,True,True
