股票代號,股票名稱,今日收盤價,今日成交量,5日均量,5日乖離率,20日乖離率,MACD狀態,風險提示
2385,群光,102.5,6898,4351,-2.19%,-3.53%,狀態 A,正常
2014,中鴻,17.05,5984,4547,-0.93%,-1.94%,狀態 A,正常
2486,一詮,235.5,9594,11735,-4.96%,-5.09%,狀態 A,過熱
1309,台達化,14.4,3529,4620,-3.29%,-3.34%,狀態 A,過熱
5521,工信,10.05,6467,3826,-1.76%,-2.90%,狀態 B,正常
9907,統一實,15.1,5724,4453,-0.79%,-0.97%,狀態 B,正常
3680,家登,464.5,3641,3180,-8.31%,-9.85%,狀態 B,過熱
2388,威盛,65.9,8053,8086,-7.60%,-10.03%,狀態 B,過熱
6789,采鈺,473.5,2776,3496,-6.92%,-8.80%,狀態 B,過熱
1711,永光,39.55,13007,8260,-6.26%,-10.81%,狀態 B,過熱
6456,GIS-KY,64.8,2976,3746,-6.22%,-7.04%,狀態 B,過熱
4960,誠美材,21.55,3746,3235,-5.98%,-14.37%,狀態 B,過熱
2371,大同,26.05,16524,10271,-4.02%,-4.81%,狀態 B,過熱
6176,瑞儀,84.5,6273,4812,-3.78%,-5.15%,狀態 B,過熱
