code,name,market,foreign_net,sitc_net
3231,緯創,TSE,79016661,1307604
2002,中鋼,TSE,42718010,-12000
1301,台塑,TSE,28618349,0
2317,鴻海,TSE,23754651,559907
6505,台塑化,TSE,22958131,-210
1326,台化,TSE,19835389,0
2883,凱基金,TSE,18491991,-39686
1718,中纖,TSE,17362217,539000
2344,華邦電,TSE,15553273,-200022
2324,仁寶,TSE,11036865,94689
4938,和碩,TSE,12446696,-2088000
2409,友達,TSE,9800034,19439
2313,華通,TSE,8440015,3000
1402,遠東新,TSE,7181534,-25548
3481,群創,TSE,4853800,334755
2352,佳世達,TSE,4843840,-4000
2634,漢翔,TSE,5049257,333000
2885,元大金,TSE,5249595,228077
2356,英業達,TSE,7952942,-3726032
2412,中華電,TSE,3647961,-45580
3702,大聯大,TSE,943509,2736000
2301,光寶科,TSE,4354941,-496689
3045,台灣大,TSE,4585892,-1243427
4904,遠傳,TSE,4444237,-2483339
5388,中磊,TSE,2338219,0
1312,國喬,TSE,2792284,0
6166,凌華,TSE,2394899,0
2882,國泰金,TSE,5057671,-2826390
3149,正達,TSE,2289408,0
2542,興富發,TSE,-4963314,6574000
1605,華新,TSE,2313742,-247
3706,神達,TSE,988326,1404000
2455,全新,TSE,1481527,362000
2354,鴻準,TSE,2093380,0
8422,可寧衛*,TSE,2072998,3000
3665,貿聯-KY,TSE,392485,1414643
2492,華新科,TSE,543539,308000
3017,奇鋐,TSE,1382746,192941
6176,瑞儀,TSE,1581140,0
3037,欣興,TSE,-531110,2270758
1101,台泥,TSE,1518016,-10000
2486,一詮,TSE,1397796,120000
1102,亞泥,TSE,1511270,-7470
2014,中鴻,TSE,1325000,0
2618,長榮航,TSE,5133960,-3166569
1434,福懋,TSE,1206126,7000
8046,南電,TSE,482625,667961
6141,柏承,TSE,1157060,0
3016,嘉晶,TSE,1121289,0
2606,裕民,TSE,1795937,-690000
2454,聯發科,TSE,564032,259691
2357,華碩,TSE,1180196,-188307
6414,樺漢,TSE,749116,0
6209,今國光,TSE,714235,0
2371,大同,TSE,801802,-4000
2105,正新,TSE,3265677,-2483219
6282,康舒,TSE,805181,-2000
1515,力山,TSE,670380,79000
1723,中碳,TSE,663173,-1000
6226,光鼎,TSE,613575,56000
6919,康霈*,TSE,700733,0
