股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
6214,精誠,TSE,154.0,146.0,141.1,263,4,"(+14, +9, +263)","(+2, +2, +4)",3624,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
1560,中砂,TSE,640.0,628.2,678.46,59,34,"(+3, +48, +59)","(+11, +4, +34)",1637,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,True
3481,群創,TSE,45.5,44.21,54.59,22096,-861,"(-18613, -5647, +22096)","(+11510, -13642, -861)",420275,【主力點火資】,False,True,True
2303,聯電,TSE,121.0,114.6,140.4,16780,88,"(-25651, +2523, +16780)","(-3082, -4783, +88)",210409,【主力點火資】,False,True,True
3231,緯創,TSE,176.0,170.5,155.85,7368,380,"(+181, -3107, +7368)","(-532, +27, +380)",112874,【主力點火資】,False,True,False
6165,浪凡,TSE,48.55,48.3,49.85,4992,1,"(+19, -21, +4992)","(+0, +0, +1)",1565,【主力點火資】,False,True,True
3711,日月光投控,TSE,555.0,544.2,623.4,2911,16,"(-388, +545, +2911)","(+259, -201, +16)",20371,【主力點火資】,False,True,True
1303,南亞,TSE,159.5,155.4,184.67,2574,144,"(-5748, +6895, +2574)","(-2560, +1692, +144)",73511,【主力點火資】,False,True,True
2409,友達,TSE,24.2,23.33,26.51,2570,938,"(-3037, +2820, +2570)","(+0, +5271, +938)",204058,【主力點火資】,False,True,True
2834,臺企銀,TSE,18.2,18.11,18.01,2539,0,"(+693, +1383, +2539)","(-7, +0, +0)",56650,【主力點火資】,False,True,False
3042,晶技,TSE,149.5,146.2,175.9,2425,27,"(-2125, +194, +2425)","(+171, -172, +27)",13589,【主力點火資】,False,True,True
5347,世界,OTC,151.5,145.4,165.47,1376,14,"(-880, +436, +1376)","(-68, -30, +14)",25742,【主力點火資】,False,True,True
3260,威剛,OTC,398.5,388.4,391.07,1313,-353,"(-730, -546, +1313)","(+1218, +539, -353)",18561,【主力點火資】,False,True,False
2308,台達電,TSE,1640.0,1600.0,1794.75,946,11,"(-498, +371, +946)","(-42, +18, +11)",19030,【主力點火資】,False,True,True
2312,金寶,TSE,30.0,29.68,32.36,917,20,"(-1017, -745, +917)","(-720, -50, +20)",17944,【主力點火資】,False,True,True
3036,文曄,TSE,196.5,191.7,200.88,866,619,"(-2155, -17, +866)","(-181, -27, +619)",8296,【主力點火資】,False,True,True
2634,漢翔,TSE,61.9,60.78,62.49,853,-198,"(-1285, -569, +853)","(+259, -161, -198)",44978,【主力點火資】,False,True,True
3543,州巧,TSE,33.05,29.09,30.09,739,130,"(-213, +297, +739)","(-20, +43, +130)",2132,【主力點火資】,False,True,False
2356,英業達,TSE,61.8,60.44,62.06,710,-796,"(-1080, -813, +710)","(+85, +656, -796)",33175,【主力點火資】,False,True,True
2375,凱美,TSE,116.5,115.9,154.38,664,-93,"(-722, -23, +664)","(-19, +0, -93)",5728,【主力點火資】,False,True,True
4763,材料*-KY,TSE,48.25,48.04,48.29,641,-1,"(-14, +273, +641)","(-2, -2, -1)",9125,【主力點火資】,False,True,True
2455,全新,TSE,292.0,291.8,312.0,595,6,"(-186, -103, +595)","(+37, -110, +6)",7005,【主力點火資】,False,True,True
2406,國碩,TSE,31.15,30.47,34.25,585,51,"(-1233, +47, +585)","(+96, -158, +51)",8850,【主力點火資】,False,True,True
2454,聯發科,TSE,3555.0,3387.0,3684.53,568,9,"(-677, +361, +568)","(-27, +17, +9)",10004,【主力點火資】,False,True,True
2305,全友,TSE,30.1,29.49,33.92,555,46,"(-705, -2, +555)","(-50, +63, +46)",8432,【主力點火資】,False,True,True
3702,大聯大,TSE,112.5,110.0,111.92,538,7,"(-569, +33, +538)","(-50, -76, +7)",8790,【主力點火資】,False,True,False
3037,欣興,TSE,787.0,760.6,838.95,534,39,"(-343, +404, +534)","(-59, +239, +39)",22851,【主力點火資】,False,True,True
6538,倉和,OTC,138.0,126.5,136.07,531,117,"(-255, +155, +531)","(+13, +192, +117)",2225,【主力點火資】,False,True,False
2464,盟立,TSE,134.5,130.7,148.57,510,181,"(-785, -24, +510)","(-161, -30, +181)",4839,【主力點火資】,False,True,True
6139,亞翔,TSE,707.0,697.4,816.45,418,4,"(-420, +111, +418)","(-6, -1, +4)",5925,【主力點火資】,False,True,True
3441,聯一光,OTC,84.0,78.62,70.8,412,113,"(+196, -310, +412)","(+214, +36, +113)",30191,【主力點火資】,False,True,False
2351,順德,TSE,145.5,142.9,177.07,362,0,"(-1551, -114, +362)","(-30, +0, +0)",3727,【主力點火資】,False,True,True
8271,宇瞻,TSE,223.0,214.5,195.35,360,-18,"(+730, -421, +360)","(+292, +94, -18)",11508,【主力點火資】,False,True,False
3706,神達,TSE,87.4,87.24,89.18,351,-48,"(-1019, -262, +351)","(-63, +16, -48)",11271,【主力點火資】,False,True,True
2369,菱生,TSE,29.4,29.27,36.31,346,-8,"(-1232, +120, +346)","(+47, -62, -8)",10453,【主力點火資】,False,True,True
2377,微星,TSE,142.0,140.2,144.25,346,-27,"(+3, -106, +346)","(+87, -32, -27)",14463,【主力點火資】,False,True,True
5880,合庫金,TSE,27.6,26.52,25.62,339,-3,"(+113, +438, +339)","(+1, +1, -3)",40792,【主力點火資】,False,True,False
2801,彰銀,TSE,25.2,24.74,24.16,273,0,"(+442, +90, +273)","(-18, -37, +0)",44018,【主力點火資】,False,True,False
3362,先進光,OTC,172.0,165.1,165.57,271,14,"(+257, -233, +271)","(+501, -126, +14)",17748,【主力點火資】,False,True,False
2383,台光電,TSE,4745.0,4477.0,4892.25,257,4,"(-59, +146, +257)","(-13, +4, +4)",2678,【主力點火資】,False,True,True
5285,界霖,TSE,70.9,70.0,85.47,241,2,"(-439, -49, +241)","(+18, +2, +2)",1261,【主力點火資】,False,True,True
8069,元太,OTC,189.0,181.5,186.89,241,24,"(-219, +47, +241)","(+62, -4, +24)",8159,【主力點火資】,False,True,False
2395,研華,TSE,563.0,558.6,541.56,238,0,"(-65, -75, +238)","(+12, +10, +0)",4883,【主力點火資】,False,True,False
3661,世芯-KY,TSE,3060.0,3045.0,3608.25,226,5,"(-189, -53, +226)","(-18, -2, +5)",2411,【主力點火資】,False,True,True
2451,創見,TSE,293.0,272.3,253.65,224,16,"(+86, -456, +224)","(+31, -115, +16)",13801,【主力點火資】,False,True,False
2368,金像電,TSE,793.0,789.4,965.65,218,8,"(-456, +267, +218)","(+55, -15, +8)",5602,【主力點火資】,False,True,True
3717,聯嘉投控,TSE,22.1,21.21,23.55,214,10,"(-28, +255, +214)","(-4, -1, +10)",2554,【主力點火資】,False,True,True
5471,松翰,TSE,51.4,50.08,57.71,201,2,"(-262, -41, +201)","(+1, +4, +2)",2086,【主力點火資】,False,True,True
8112,至上,TSE,80.3,79.02,84.5,201,117,"(-783, +98, +201)","(+95, -27, +117)",14525,【主力點火資】,False,True,True
4908,前鼎,OTC,132.0,130.8,147.47,197,-3,"(-222, -44, +197)","(+18, -7, -3)",1383,【主力點火資】,False,True,True
4739,康普,TSE,76.0,74.76,88.51,185,17,"(-961, -13, +185)","(-3, -23, +17)",1647,【主力點火資】,False,True,True
6005,群益證,TSE,34.2,33.82,34.8,185,-7,"(-28, -67, +185)","(+3, -3, -7)",10254,【主力點火資】,False,True,True
2316,楠梓電,TSE,142.0,141.1,171.34,168,16,"(-328, -64, +168)","(+17, +0, +16)",2141,【主力點火資】,False,True,True
6016,康和證,OTC,20.6,20.13,22.09,168,7,"(-669, +0, +168)","(-48, -7, +7)",7155,【主力點火資】,False,True,True
3357,臺慶科,OTC,194.0,192.1,230.2,151,1,"(-404, +53, +151)","(+7, +4, +1)",2474,【主力點火資】,False,True,True
2345,智邦,TSE,2125.0,2040.28,2247.81,149,3,"(-116, -2, +149)","(+0, +1, +3)",2439,【主力點火資】,False,True,True
3017,奇鋐,TSE,2320.0,2233.0,2289.25,149,17,"(-162, -27, +149)","(-1, +2, +17)",3627,【主力點火資】,False,True,False
8110,華東,TSE,37.1,36.86,44.39,149,1,"(-1312, -924, +149)","(+252, -297, +1)",5186,【主力點火資】,False,True,True
3044,健鼎,TSE,369.0,360.1,411.34,148,0,"(-64, -57, +148)","(+9, -11, +0)",3087,【主力點火資】,False,True,True
2476,鉅祥,TSE,113.5,110.9,121.53,144,0,"(-3, +178, +144)","(-1, +47, +0)",2235,【主力點火資】,False,True,True
6672,騰輝電子-KY,TSE,198.0,197.0,247.47,133,-2,"(-175, -28, +133)","(-3, +10, -2)",2396,【主力點火資】,False,True,True
6206,飛捷,TSE,125.0,122.9,122.9,130,-3,"(-35, -155, +130)","(-15, +4, -3)",2620,【主力點火資】,False,True,False
4938,和碩,TSE,84.4,83.5,83.45,124,3,"(-142, +17, +124)","(-4, -26, +3)",11244,【主力點火資】,False,True,False
2103,台橡,TSE,21.25,21.16,23.22,117,5,"(-304, +32, +117)","(-14, -1, +5)",6349,【主力點火資】,False,True,True
2890,永豐金,TSE,40.6,39.26,38.67,115,-10,"(-82, +22, +115)","(+11, +15, -10)",40983,【主力點火資】,False,True,False
2347,聯強,TSE,93.7,87.96,86.44,110,3,"(+2, +1, +110)","(-2, +3, +3)",4801,【主力點火資】,False,True,False
2374,佳能,TSE,63.9,63.62,69.56,108,-1,"(-785, -229, +108)","(-11, +3, -1)",3675,【主力點火資】,False,True,True
1717,長興,TSE,59.9,57.9,66.8,106,-50,"(-1842, -747, +106)","(-35, +165, -50)",13051,【主力點火資】,False,True,True
4576,大銀微系統,TSE,180.5,179.6,200.22,103,-35,"(-185, -97, +103)","(+10, +27, -35)",1266,【主力點火資】,False,True,True
6196,帆宣,TSE,468.0,467.1,529.67,90,-12,"(-82, +5, +90)","(-17, +7, -12)",1836,【主力點火資】,False,True,True
3443,創意,TSE,3805.0,3654.0,4077.25,89,6,"(-179, +252, +89)","(+3, +1, +6)",1965,【主力點火資】,False,True,True
3008,大立光,TSE,4035.0,3918.0,4015.25,86,5,"(-20, -58, +86)","(+26, -12, +5)",2587,【主力點火資】,False,True,False
6588,東典光電,OTC,89.1,88.52,80.06,82,7,"(-130, +29, +82)","(-1, +65, +7)",7015,【主力點火資】,False,True,False
7777,能率亞洲,OTC,36.9,36.49,39.32,82,0,"(-93, -20, +82)","(+17, -28, +0)",1447,【主力點火資】,False,True,True
3189,景碩,TSE,635.0,627.6,729.1,80,31,"(-499, +2115, +80)","(-88, +186, +31)",15285,【主力點火資】,False,True,True
2851,中再保,TSE,34.5,34.46,36.48,68,-3,"(+36, +62, +68)","(+1, +0, -3)",2518,【主力點火資】,False,True,True
1808,潤隆,TSE,33.0,32.12,31.49,63,10,"(-38, -79, +63)","(+0, +1, +10)",1670,【主力點火資】,False,True,False
5469,瀚宇博,TSE,66.9,66.8,73.45,60,-3,"(-545, -36, +60)","(+2, -10, -3)",2313,【主力點火資】,False,True,True
4749,新應材,OTC,722.0,709.8,810.25,57,53,"(-417, -44, +57)","(+3, -7, +53)",1264,【主力點火資】,False,True,True
2101,南港,TSE,33.25,32.76,33.62,56,0,"(-866, -354, +56)","(-15, +0, +0)",1728,【主力點火資】,False,True,True
1785,光洋科,OTC,99.4,98.64,116.46,51,42,"(-2754, -1066, +51)","(+68, -23, +42)",8040,【主力點火資】,False,True,True
2363,矽統,TSE,49.2,48.66,58.66,46,-46,"(-1064, +147, +46)","(+31, -15, -46)",7606,【主力點火資】,False,True,True
5289,宜鼎,OTC,1295.0,1233.0,1384.5,45,1,"(-316, +124, +45)","(-14, -1, +1)",2227,【主力點火資】,False,True,True
2886,兆豐金,TSE,53.1,50.67,48.12,42,5,"(+436, -19, +42)","(+43, -9, +5)",40335,【主力點火資】,False,True,False
2061,風青,OTC,55.5,53.76,62.23,42,17,"(+267, +112, +42)","(-7, +2, +17)",2745,【主力點火資】,False,True,True
2515,中工,TSE,11.85,11.76,12.54,41,-6,"(-10, +363, +41)","(+0, +1, -6)",6928,【主力點火資】,False,True,True
2892,第一金,TSE,36.75,35.33,34.19,41,9,"(+155, -548, +41)","(-3, +3, +9)",50792,【主力點火資】,False,True,False
3135,凌航,TSE,153.0,149.2,157.15,39,-5,"(-165, +27, +39)","(-2, +12, -5)",1839,【主力點火資】,False,True,True
2511,太子,TSE,8.6,8.26,8.24,38,0,"(-488, -56, +38)","(+0, +1, +0)",3291,【主力點火資】,False,True,False
2547,日勝生,TSE,10.5,10.29,10.34,37,4,"(+247, +108, +37)","(+0, +2, +4)",2817,【主力點火資】,False,True,False
2540,愛山林,TSE,61.0,57.58,54.52,36,-1,"(+123, -262, +36)","(+3, +0, -1)",3161,【主力點火資】,False,True,False
6197,佳必琪,TSE,289.0,286.8,320.82,35,1,"(+7, -11, +35)","(+19, -7, +1)",1968,【主力點火資】,False,True,True
3060,銘異,TSE,27.15,26.82,31.39,33,1,"(-191, -83, +33)","(+17, -16, +1)",2271,【主力點火資】,False,True,True
8438,昶昕,TSE,57.7,57.58,77.15,33,0,"(-1208, -74, +33)","(+0, +0, +0)",1224,【主力點火資】,False,True,True
3653,健策,TSE,3445.0,3357.0,3308.97,32,4,"(+33, -110, +32)","(+7, +7, +4)",1396,【主力點火資】,False,True,False
3041,揚智,TSE,21.55,21.47,24.39,31,-17,"(-491, +45, +31)","(+12, -9, -17)",1457,【主力點火資】,False,True,True
8454,富邦媒,TSE,245.5,245.1,256.57,31,-2,"(+38, -9, +31)","(+5, +0, -2)",1249,【主力點火資】,False,True,True
3209,全科,TSE,55.8,54.74,57.4,30,1,"(-161, +33, +30)","(-35, -2, +1)",1649,【主力點火資】,False,True,True
2404,漢唐,TSE,1100.0,1050.0,1150.33,29,2,"(-91, -12, +29)","(+6, -1, +2)",2733,【主力點火資】,False,True,True
2436,偉詮電,TSE,54.9,54.08,61.36,26,53,"(-497, -61, +26)","(-271, -61, +53)",2414,【主力點火資】,False,True,True
6548,長科*,OTC,65.0,62.78,74.53,26,33,"(-1128, +205, +26)","(+216, -214, +33)",5123,【主力點火資】,False,True,True
2646,星宇航空,TSE,21.65,21.62,21.39,25,-2,"(-142, +14, +25)","(-12, +2, -2)",6591,【主力點火資】,False,True,False
4973,廣穎,OTC,129.0,128.1,146.85,24,15,"(-283, -90, +24)","(-2, -2, +15)",1503,【主力點火資】,False,True,True
6415,矽力*-KY,TSE,413.0,403.5,476.93,23,5,"(-262, +21, +23)","(-8, +3, +5)",4508,【主力點火資】,False,True,True
3034,聯詠,TSE,519.0,505.1,494.63,17,-5,"(-40, -48, +17)","(+15, -5, -5)",4881,【主力點火資】,False,True,False
3665,貿聯-KY,TSE,2100.0,2093.0,1980.02,16,-13,"(-129, +13, +16)","(-16, +10, -13)",3266,【主力點火資】,False,True,False
